lat,long,surface,pop,municipality,prov
452153,7464,1328,2623,Aglie',TO
44553,72928,1570,3252,Airasca,TO
451858,71810,4609,503,Ala di Stura,TO
45266,75650,1173,1701,Albiano d'Ivrea,TO
452744,74640,695,601,Alice Superiore,TO
45712,72353,1791,5240,Almese,TO
452437,73439,565,329,Alpette,TO
45557,73140,1195,16739,Alpignano,TO
45220,75210,748,1693,Andezeno,TO
453141,75228,932,469,Andrate,TO
445037,71335,3869,724,Angrogna,TO
45241,75410,823,840,Arignano,TO
45444,72353,2326,10032,Avigliana,TO
452536,75940,988,1186,Azeglio,TO
452316,74516,716,768,Bairo,TO
451636,73119,1290,2891,Balangero,TO
452442,74442,437,547,Baldissero Canavese,TO
45411,74912,1546,2876,Baldissero Torinese,TO
451812,7138,6147,98,Balme,TO
452744,75129,217,3784,Banchette,TO
451731,73755,1280,1391,Barbania,TO
45453,6421,13231,3186,Bardonecchia,TO
451940,75225,400,563,Barone Canavese,TO
45127,73451,676,18744,Beinasco,TO
444757,71722,1864,2616,Bibiana,TO
444831,773,9388,608,Bobbio Pellice,TO
452829,75637,1422,1941,Bollengo,TO
4596,73934,1436,10544,Borgaro Torinese,TO
45259,74017,699,454,Borgiallo,TO
453046,75124,1334,3662,Borgofranco d'Ivrea,TO
452150,75920,1254,818,Borgomasino,TO
45730,71438,501,2127,Borgone Susa,TO
45169,7461,1109,2811,Bosconero,TO
451043,75037,641,7051,Brandizzo,TO
444938,71814,2264,3921,Bricherasio,TO
452940,74812,1131,505,Brosso,TO
4573,8413,894,387,Brozolo,TO
45117,72813,559,6135,Bruino,TO
45923,8326,1439,1585,Brusasco,TO
45843,71141,1235,1323,Bruzolo,TO
445228,72448,1468,1309,Buriasco,TO
45291,75559,546,1322,Burolo,TO
451950,73929,505,1261,Busano,TO
45829,7846,3738,6612,Bussoleno,TO
4547,72613,825,6605,Buttigliera Alta,TO
451448,73110,998,3545,Cafasse,TO
451828,75329,3953,7320,Caluso,TO
445826,74653,1422,5769,Cambiano,TO
444810,71931,1112,1173,Campiglione-Fenile,TO
451946,75320,918,1319,Candia Canavese,TO
445737,7366,1190,4417,Candiolo,TO
452233,73543,1172,291,Canischio,TO
445626,71956,1114,1750,Cantalupa,TO
452027,72310,2306,541,Cantoira,TO
45717,71952,1635,1752,Caprie,TO
45243,75739,1148,1053,Caravino,TO
45355,74843,1046,883,Carema,TO
445428,74036,5018,8647,Carignano,TO
445051,74317,9638,24725,Carmagnola,TO
45751,75642,2016,1505,Casalborgone,TO
452851,75423,219,1488,Cascinette d'Ivrea,TO
45628,72859,1422,2717,Caselette,TO
451041,73858,2869,13740,Caselle Torinese,TO
45942,75329,1155,1270,Castagneto Po,TO
445359,7349,1729,1634,Castagnole Piemonte,TO
45235,74240,3850,8976,Castellamonte,TO
452614,74134,2860,492,Castelnuovo Nigra,TO
45658,7494,1417,4940,Castiglione Torinese,TO
45912,8247,1237,2281,Cavagnolo,TO
44475,72232,4913,5226,Cavour,TO
445140,73021,1306,1632,Cercenasco,TO
451850,72327,2787,939,Ceres,TO
45260,71443,9957,167,Ceresole Reale,TO
445713,64733,12130,937,Cesana Torinese,TO
452153,72032,3516,353,Chialamberto,TO
